"Date","Cause","Casualties","RegisterNumber","Damage","Smoke","CO"
"2022-1-1 0:11","Cooking",0,8557338,58791,1,0
"2022-1-1 0:34","Electrical Fault",0,7861834,58347,1,0
"2022-1-1 10:33","Other",0,4013959,43878,1,1
"2022-1-1 10:35","Heating",0,1640021,55570,1,0
"2022-1-1 10:39","Heating",0,3688588,55275,1,0
"2022-1-1 10:8","Electrical Fault",0,5304925,52825,1,0
"2022-1-1 11:28","Heating",3,849361,44258,1,1
"2022-1-1 11:4","Other",0,2326765,62784,1,1
"2022-1-1 11:40","Other",0,7037238,42832,1,1
"2022-1-1 11:40","Cooking",0,9210761,85917,1,1
"2022-1-1 11:42","Cooking",0,3373874,41439,1,1
"2022-1-1 11:49","Heating",0,4508401,49402,1,1
"2022-1-1 11:54","Cooking",0,7682725,71854,1,1
"2022-1-1 11:56","Heating",0,8756545,86346,1,1
"2022-1-1 12:17","Other",0,9157180,74075,1,0
"2022-1-1 12:18","Heating",0,6629442,62686,0,0
"2022-1-1 12:19","Electrical Fault",0,3030083,43034,1,0
"2022-1-1 12:23","Heating",0,612812,100405,1,0
"2022-1-1 12:23","Heating",0,2929328,50904,1,0
"2022-1-1 12:25","Other",0,215483,52789,1,1
"2022-1-1 12:30","Cooking",0,835604,34250,1,1
"2022-1-1 12:39","Other",0,9939282,49141,1,0
"2022-1-1 12:44","Heating",0,7875032,37628,1,1
"2022-1-1 12:52","Other",0,7091051,75322,0,1
"2022-1-1 12:52","Heating",0,8059198,84762,1,1
"2022-1-1 12:57","Heating",0,313083,51337,1,0
"2022-1-1 12:6","Other",0,9074205,100137,1,1
"2022-1-1 13:12","Other",0,2340057,58295,1,0
"2022-1-1 13:13","Heating",0,5755411,41460,1,1
"2022-1-1 13:14","Cooking",0,4102975,NA,1,0
"2022-1-1 13:17","Cooking",0,4081112,55022,1,0
"2022-1-1 13:2","Heating",0,971306,116304,0,0
"2022-1-1 13:23","Cooking",0,5322301,46499,1,1
"2022-1-1 13:31","Other",0,5501829,45624,1,0
"2022-1-1 13:39","Other",4,2248525,57728,1,1
"2022-1-1 13:40","Heating",0,1689675,54893,1,1
"2022-1-1 13:46","Cooking",0,4943030,66254,0,1
"2022-1-1 13:49","Other",0,4166628,39860,1,0
"2022-1-1 14:34","Heating",0,7086919,48409,1,1
"2022-1-1 14:53","Cooking",0,2528800,56438,1,1
"2022-1-1 14:54","Heating",0,8846972,110384,1,0
"2022-1-1 14:8","Electrical Fault",0,629963,95246,1,1
"2022-1-1 15:1","Other",0,828317,57927,0,1
"2022-1-1 15:39","Electrical Fault",0,3540331,60518,0,0
"2022-1-1 15:42","Heating",0,9208582,36733,1,1
"2022-1-1 15:56","Heating",0,8199446,67978,0,1
"2022-1-1 16:0","Other",0,4248012,40182,1,1
"2022-1-1 16:14","Heating",0,9470869,46173,1,1
"2022-1-1 16:20","Heating",0,6883398,35003,1,1
"2022-1-1 16:39","Heating",0,3707627,35099,1,1
"2022-1-1 16:40","Electrical Fault",0,1131337,72858,0,1
"2022-1-1 16:49","Heating",0,5726886,42201,1,1
"2022-1-1 16:5","Heating",0,7844174,59566,1,0
"2022-1-1 16:52","Heating",0,6686769,93358,1,0
"2022-1-1 16:55","Heating",0,835358,66039,1,0
"2022-1-1 17:38","Cooking",0,986339,98830,1,0
"2022-1-1 17:5","Cooking",0,8769329,54281,1,1
"2022-1-1 18:18","Cooking",0,7752359,62718,1,0
"2022-1-1 18:25","Heating",0,7924601,37064,1,1
"2022-1-1 18:27","Electrical Fault",0,9649823,33654,1,1
"2022-1-1 18:30","Heating",0,9366387,34175,1,0
"2022-1-1 19:1","Electrical Fault",0,8364488,48666,1,0
"2022-1-1 19:25","Heating",3,308159,110162,0,0
"2022-1-1 19:29","Electrical Fault",0,2048486,59411,0,1
"2022-1-1 19:36","Heating",0,9475634,111188,0,0
"2022-1-1 19:44","Heating",0,1585639,51606,1,0
"2022-1-1 19:44","Other",0,7638791,80856,0,0
"2022-1-1 19:57","Cooking",0,569573,65102,1,0
