"Year","Month","Beagles","Dachshund","Maltese","Cats","BeaglesRescue","DachshundRescue","MalteseRescue","CatRescue"
1990,1,81817,108739,73322,283178,818,3135,1462,4194
1990,2,81975,109039,73498,283367,843,3248,1472,4370
1990,3,82169,109362,73632,283692,813,3251,1511,4214
1990,4,82064,109221,73529,284040,770,3201,1540,4338
1990,5,81965,109081,73414,283864,804,3312,1459,4143
1990,6,82169,109298,73640,284058,823,3276,1507,4347
1990,7,82036,109163,73551,284653,825,3281,1480,4172
1990,8,81923,109037,73440,285093,835,3191,1530,4292
1990,9,82095,109316,73629,285746,769,3240,1458,4166
1990,10,82325,109538,73813,286069,788,3262,1422,4368
1990,11,82554,109849,73945,285661,857,3302,1470,4342
1990,12,82764,110125,74106,286473,806,3310,1490,4339
1991,1,82646,109978,74008,286455,884,3336,1387,4339
1991,2,82843,110272,74176,287251,816,3490,1406,4329
1991,3,83036,110564,74349,287337,749,3394,1465,4283
1991,4,82913,110403,74297,287067,828,3307,1523,4183
1991,5,82826,110297,74157,287156,827,3256,1455,4292
1991,6,82714,110182,74041,287926,842,3327,1479,4243
1991,7,82557,110055,73954,287808,845,3320,1431,4416
1991,8,82418,109935,73852,288226,874,3338,1423,4312
1991,9,82294,109850,73718,288081,810,3339,1407,4281
1991,10,82193,109720,73591,289191,779,3346,1434,4380
1991,11,82319,110041,73779,289527,793,3390,1540,4310
1991,12,82500,110303,73997,289115,866,3275,1435,4328
1992,1,82726,110530,74199,289075,810,3197,1488,4339
1992,2,82916,110836,74374,288934,840,3337,1466,4487
1992,3,82774,110717,74294,289747,840,3253,1500,4359
1992,4,82663,110601,74176,289574,801,3344,1450,4387
1992,5,82540,110460,74108,290971,820,3179,1479,4357
1992,6,82741,110676,74325,290608,790,3302,1463,4272
1992,7,82620,110510,74232,290962,788,3351,1510,4425
1992,8,82807,110808,74393,291743,782,3377,1506,4381
1992,9,82960,111084,74604,290923,889,3320,1481,4412
1992,10,83204,111355,74738,291734,814,3291,1503,4313
1992,11,83075,111268,74611,292165,836,3424,1418,4393
1992,12,83253,111543,74795,293288,845,3484,1536,4331
1993,1,83126,111426,74693,292803,857,3426,1501,4399
1993,2,83303,111689,74900,292617,842,3339,1505,4465
1993,3,83512,111980,75038,293053,806,3293,1475,4276
1993,4,83681,112318,75185,293214,847,3344,1524,4388
1993,5,83886,112586,75364,292473,871,3272,1479,4328
1993,6,84038,112888,75535,293472,797,3423,1487,4463
1993,7,84241,113156,75721,293373,871,3301,1492,4298
1993,8,84180,112965,75627,294905,883,3482,1507,4351
1993,9,84072,112818,75521,292753,797,3366,1489,4280
1993,10,83962,112683,75433,294248,804,3351,1484,4342
1993,11,83866,112518,75367,295034,815,3387,1475,4528
1993,12,83753,112340,75306,294094,837,3405,1483,4339
1994,1,83681,112151,75200,294493,839,3281,1434,4248
1994,2,83595,111980,75101,294679,892,3464,1476,4349
1994,3,83461,111861,74994,295589,830,3389,1427,4483
1994,4,83357,111746,74890,295135,813,3361,1489,4441
1994,5,83263,111619,74761,295354,812,3301,1499,4444
1994,6,83145,111479,74662,296140,822,3459,1475,4498
1994,7,83063,111345,74541,296253,775,3398,1497,4496
